budget,method,task,regime,seed,episode,accepted,breach,gated_success,gated_utility,predicted_revision_risk,realized_revision_risk
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,0,1,1,0.603207,0.357923,0.045451,0.102922
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,1,1,1,0.601481,0.384161,0.044281,0.083634
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,2,1,1,0.617716,0.385026,0.043176,0.103736
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,3,1,1,0.607426,0.362991,0.040496,0.098507
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,4,1,1,0.629179,0.405875,0.053496,0.117355
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,5,1,1,0.594475,0.360899,0.034121,0.085335
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,6,1,1,0.599656,0.366785,0.053025,0.089977
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,0,7,1,1,0.635417,0.400943,0.031569,0.094533
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,0,1,1,0.568608,0.338974,0.051821,0.087004
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,1,1,1,0.571695,0.349253,0.026617,0.090572
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,2,1,0,0.618378,0.419482,0.039131,0.075838
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,3,1,1,0.589459,0.344546,0.059015,0.094517
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,4,1,1,0.590158,0.354861,0.060995,0.118755
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,5,1,1,0.606994,0.365093,0.052774,0.099321
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,6,1,1,0.597928,0.373559,0.041653,0.100386
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,1,7,1,1,0.602418,0.370413,0.052535,0.103340
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,0,1,1,0.617538,0.379150,0.048095,0.092639
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,1,1,1,0.617211,0.353890,0.055670,0.099724
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,2,1,1,0.640461,0.410942,0.050066,0.099885
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,3,1,1,0.611353,0.352988,0.063877,0.112798
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,4,1,1,0.611005,0.369348,0.050754,0.091863
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,5,1,1,0.596215,0.361403,0.042903,0.092321
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,6,1,1,0.625979,0.392818,0.035115,0.098025
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,2,7,1,1,0.592793,0.376102,0.040460,0.084818
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,3,0,1,1,0.570755,0.347347,0.035022,0.100410
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,3,1,1,1,0.578420,0.362964,0.039529,0.093829
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,3,2,1,1,0.601330,0.361282,0.050283,0.104587
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,3,3,1,1,0.605632,0.381340,0.059643,0.096449
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,3,4,1,1,0.636779,0.394277,0.046592,0.113075
0.080000,conformal_intervention_filter,occluded_drawer_recovery,nominal,3,5,1,1,0.601121,0.354976,0.055174,0.101471
